owner,methods,path
cortex,GET,/api/admin/containers
cortex,GET,/api/admin/containers/stats
cortex,GET,/api/admin/decisions
cortex,GET,/api/admin/pressure
cortex,GET,/api/admin/runs
cortex,GET,/api/admin/runs/{id}
cortex,GET,/api/admin/usage
cortex,GET,/api/admin/usage/users
cortex,GET,/api/admin/workers
cortex,POST,/api/auth/credential/default
cortex,POST,/api/auth/credential/delete
cortex,POST,/api/auth/refresh
cortex,POST,/api/auth/start
cortex,GET,/api/auth/status
cortex,POST,/api/auth/submit
cortex,GET|POST,/api/authority/delegations
cortex,DELETE,/api/authority/delegations/{delegation_id}
cortex,GET|POST,/api/authority/scopes
cortex,PATCH,/api/authority/scopes/{scope_id}
cortex,POST,/api/billing/referral/validate
cortex,POST,/api/chat
cortex,POST,/api/chat/options
cortex,GET,/api/chat/suggestions
cortex,GET,/api/context/health
cortex,GET,/api/context/impact
cortex,GET,/api/context/runs/{run_id}/artifacts
cortex,GET,/api/context/runs/{run_id}/context
cortex,GET,/api/context/stats
cortex,POST,/api/context/test
cortex,GET|POST,/api/conversations
cortex,DELETE|GET|PATCH,/api/conversations/{id}
cortex,POST,/api/conversations/{id}/messages
cortex,POST,/api/credentials/assign
cortex,GET,/api/credentials/assignments
cortex,DELETE,/api/credentials/assignments/{id}
cortex,GET,/api/deploy-info
cortex,GET,/api/deploy-metadata
cortex,GET,/api/deploy-status
cortex,GET,/api/deployment/adapters
cortex,GET,/api/deployment/events
cortex,GET,/api/deployment/status
cortex,POST,/api/github/import
cortex,GET,/api/github/imports
cortex,GET,/api/github/repos
cortex,GET,/api/github/status/{import_id}
cortex,POST,/api/github/sync/{import_id}
cortex,GET|POST,/api/groups/{group_id}/approvals
cortex,PATCH,/api/groups/{group_id}/approvals/{request_id}
cortex,GET,/api/groups/{group_id}/operations/graph
cortex,GET,/api/groups/{group_id}/operations/summary
cortex,GET|POST|PUT,/api/groups/{group_id}/tasks
cortex,PATCH,/api/groups/{group_id}/tasks/{task_id}
cortex,POST,/api/groups/{group_id}/tasks/{task_id}/chats
cortex,GET,/api/groups/{group_id}/tasks/{task_id}/projection
cortex,POST,/api/groups/{group_id}/tasks/actions
cortex,POST,/api/integrations/replit/import
cortex,GET,/api/integrations/replit/workspaces
cortex,GET,/api/integrations/slack/channels
cortex,POST,/api/integrations/slack/command
cortex,POST,/api/integrations/slack/events
cortex,POST,/api/integrations/slack/import-channels
cortex,GET,/api/integrations/slack/oauth/callback
cortex,POST,/api/integrations/slack/oauth/start
cortex,GET,/api/integrations/status
cortex,GET,/api/keys
cortex,DELETE|PUT,/api/keys/{provider}
cortex,GET,/api/ledger
cortex,GET,/api/mc
cortex,GET,/api/mc/snapshot
cortex,GET,/api/operations/summary
cortex,GET|POST,/api/projects
cortex,DELETE|GET,/api/projects/{id}
cortex,POST,/api/projects/{id}/chat
cortex,POST,/api/projects/import
cortex,GET,/api/providers
cortex,GET|POST,/api/runs
cortex,GET,/api/runs/{id}
cortex,GET,/api/runs/{id}/events
cortex,POST,/api/runs/{id}/pr
cortex,GET,/api/runs/{id}/stream
cortex,GET,/api/runs/{run_id}/steps/{step_id}/receipt
cortex,GET,/api/runs/{run_id}/steps/{step_id}/verifier-report/{report_id}
cortex,POST,/api/runs/estimate
cortex,GET,/api/usage
cortex,GET,/api/usage/daily
cortex,GET,/api/user/github/status
cortex,GET,/api/user/profile
cortex,POST,/api/user/repos/select
cortex,GET|POST,/api/user/routing
cortex,GET,/api/ws
cortex,POST,/internal/provider/v1/messages
duplicate,GET,/api/admin/audit-log
duplicate,GET|POST,/api/admin/codes
duplicate,DELETE|PATCH,/api/admin/codes/{id}
duplicate,GET,/api/admin/redemptions
duplicate,GET,/api/admin/stats
duplicate,POST,/api/billing/checkout
duplicate,GET,/api/billing/history
duplicate,POST,/api/billing/portal
duplicate,GET,/api/billing/status
duplicate,GET,/api/billing/usage
duplicate,GET,/api/health
duplicate,POST,/api/stripe/webhook
duplicate,GET,/metrics
duplicate,GET,/v1/health
duplicate,GET,/v1/ready
